Time (min),PD-016,PD-017,PD-018,PD-019,PD-020
0,0.081331136,0.078744844,0.084695103,0.042885369,0.080228917
10,0.078151904,0.07505908,0.080142276,0.04102312,0.077451931
20,0.074192017,0.06599514,0.069445515,0.040013036,0.064171858
30,0.066617876,0.05870704,0.068864493,0.036851681,0.05850466
40,0.060077656,0.057023567,0.061877334,0.029941991,0.05167244
50,0.060390514,0.052348576,0.05929998,0.028782927,0.044673361
60,0.054163152,0.047676565,0.056019442,0.025359368,0.0412647
70,0.048460199,0.048877343,0.053412293,0.024936265,0.036154688
80,0.047625911,0.04318035,0.049032282,0.021596134,0.030901655
90,0.044691006,0.040287159,0.046550276,0.020738009,0.027773076